#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sun Mar 01 16:01:32 EST 2020,90,90,Assignment3Suite,BuildTest1+ BuildTest2+ DelMaxTest1+ DelMaxTest2+ DelMaxTest3+ DelMaxTest4+ EverythingTest+ GetMaxTest1+ GetMaxTest2+ GetMaxTest3+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest1+ SizeTest2+ SizeTest3+ SizeTest4+ SortTest1+ SortTest2+ SortTest3+ , ,BuildTest3- SortTest4- , ,
1,Sun Mar 01 16:10:45 EST 2020,95,5,Assignment3Suite,BuildTest1 BuildTest2 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SortTest1 SortTest2 SortTest3 SortTest4+ , ,BuildTest3 , ,
2,Sun Mar 01 16:35:50 EST 2020,100,5,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3+ DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SortTest1 SortTest2 SortTest3 SortTest4 , , , ,
3,Sun Mar 01 17:11:56 EST 2020,59,-41,Assignment3Suite,DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1- BuildTest2- BuildTest3- GetMaxTest1- GetMaxTest3- SortTest1- SortTest2- SortTest3- SortTest4- , ,
4,Sun Mar 01 17:12:21 EST 2020,59,0,Assignment3Suite,DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 BuildTest2 BuildTest3 GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
5,Sun Mar 01 17:13:17 EST 2020,59,0,Assignment3Suite,DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,BuildTest1 BuildTest2 BuildTest3 GetMaxTest1 GetMaxTest3 SortTest1 SortTest2 SortTest3 SortTest4 , ,
6,Sun Mar 01 17:13:58 EST 2020,90,31,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest1+ GetMaxTest2 GetMaxTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SortTest1+ SortTest3+ , ,SortTest2 SortTest4 , ,
7,Sun Mar 01 17:15:49 EST 2020,100,10,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SortTest1 SortTest2+ SortTest3 SortTest4+ , , , ,
8,Sun Mar 01 17:29:09 EST 2020,100,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SortTest1 SortTest2 SortTest3 SortTest4 , , , ,
9,Sun Mar 01 18:51:58 EST 2020,100,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SortTest1 SortTest2 SortTest3 SortTest4 , , , ,
10,Mon Mar 02 20:43:23 EST 2020,100,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMaxTest1 DelMaxTest2 DelMaxTest3 DelMaxTest4 EverythingTest GetMaxTest1 GetMaxTest2 GetMaxTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 SortTest1 SortTest2 SortTest3 SortTest4 , , , ,
